,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,fade_stamp,seg_end_stamp,firstfixation_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time,imm_processed
797,44,3,3_ref_105_rule,100917,218686.0,230052.0,280350,220183.0,117769.0,3.0,119266.0,1497.0,1
798,44,3,3_ref_102_rule,100917,230052.0,250719.0,280350,231917.0,129135.0,2.0,131000.0,1865.0,1
800,44,5,5_ref_100_rule,1365918,1393743.0,1407649.0,1471994,1395164.0,27825.0,3.0,29246.0,1421.0,1
801,44,5,5_ref_101_rule,1365918,1407649.0,1421754.0,1471994,1408247.0,41731.0,1.0,42329.0,598.0,1
802,44,5,5_ref_103_rule,1365918,1421754.0,1429590.0,1471994,1422745.0,55836.0,9.0,56827.0,991.0,1
804,44,9,9_ref_101_rule,327626,363840.0,383208.0,417113,370412.0,36214.0,8.0,42786.0,6572.0,1
807,44,20,20_ref_100_rule,1050238,1058411.0,1073824.0,1091792,1059348.0,8173.0,5.0,9110.0,937.0,1
809,44,27,27_ref_103_rule,449991,491891.0,520902.0,535572,492936.0,41900.0,11.0,42945.0,1045.0,1
810,44,27,27_ref_102_rule,449991,520902.0,528871.0,535572,522215.0,70911.0,1.0,72224.0,1313.0,1
812,44,28,28_ref_100_rule,1162710,1188036.0,1197412.0,1223251,1190491.0,25326.0,1.0,27781.0,2455.0,1
813,44,28,28_ref_101_rule,1162710,1197412.0,1206996.0,1223251,-1.0,34702.0,0.0,-1.0,,0
814,44,28,28_ref_104_rule,1162710,1206996.0,1217838.0,1223251,1220953.0,44286.0,2.0,58243.0,13957.0,0
817,44,60,60_ref_101_rule,685260,698390.0,714461.0,744444,730936.0,13130.0,2.0,45676.0,32546.0,0
819,44,62,62_ref_100_rule,555359,590307.0,611541.0,647819,591025.0,34948.0,5.0,35666.0,718.0,1
821,44,66,66_ref_101_rule,969370,998641.0,1016169.0,1035931,1000440.0,29271.0,5.0,31070.0,1799.0,1
823,44,72,72_ref_100_rule,864410,898460.0,905888.0,945378,920021.0,34050.0,3.0,55611.0,21561.0,0
826,46,3,3_ref_106_rule,84140,97482.0,117658.0,231079,161170.0,13342.0,10.0,77030.0,63688.0,0
827,46,3,3_ref_101_rule,84140,117658.0,131215.0,231079,133414.0,33518.0,9.0,49274.0,15756.0,0
828,46,3,3_ref_100_rule,84140,131215.0,148618.0,231079,133239.0,47075.0,6.0,49099.0,2024.0,1
