,sc_id,msnv_id,intervention,seg_start_stamp,trigger_start_stamp,seg_end_stamp,trigger_delay,numfixations,timetofirstfixation,trigger_to_fixation_time
211,12,3,3_ref_102_rule,871126,939604.0,987395,68478.0,0.0,-1.0,
212,12,3,3_ref_104_rule,871126,948821.0,987395,77695.0,0.0,-1.0,
213,12,9,9_ref_101_rule,1040100,1066390.0,1110826,26290.0,6.0,45693.0,19403.0
214,12,9,9_ref_100_rule,1040100,1074625.0,1110826,34525.0,1.0,53438.0,18913.0
215,12,11,11_ref_101_rule,1155961,1173483.0,1211489,17522.0,0.0,-1.0,
216,12,30,30_ref_100_rule,1252511,1271117.0,1284205,18606.0,0.0,-1.0,
217,12,72,72_ref_100_rule,1318323,1336483.0,1394953,18160.0,0.0,-1.0,
218,12,72,72_ref_102_rule,1318323,1345909.0,1394953,27586.0,3.0,41904.0,14318.0
219,12,27,27_ref_103_rule,1415946,1439904.0,1467610,23958.0,0.0,-1.0,
220,12,27,27_ref_102_rule,1415946,1447798.0,1467610,31852.0,0.0,-1.0,
221,12,27,27_ref_104_rule,1415946,1450887.0,1467610,34941.0,0.0,-1.0,
222,12,66,66_ref_101_rule,1488546,1521649.0,1571902,33103.0,,,
223,12,66,66_ref_100_rule,1488546,1535987.0,1571902,47441.0,,,
224,13,72,72_ref_100_rule,138058,154599.0,221217,16541.0,2.0,50423.0,33882.0
225,13,72,72_ref_102_rule,138058,161127.0,221217,23069.0,7.0,49982.0,26913.0
226,13,9,9_ref_101_rule,261905,287044.0,358163,25139.0,4.0,73607.0,48468.0
227,13,9,9_ref_100_rule,261905,302340.0,358163,40435.0,8.0,82992.0,42557.0
228,13,28,28_ref_100_rule,409194,418391.0,479812,9197.0,1.0,64605.0,55408.0
229,13,28,28_ref_101_rule,409194,426718.0,479812,17524.0,0.0,-1.0,
230,13,28,28_ref_104_rule,409194,433704.0,479812,24510.0,1.0,69352.0,44842.0
231,13,28,28_ref_103_rule,409194,445378.0,479812,36184.0,6.0,38782.0,2598.0
232,13,11,11_ref_101_rule,513471,532851.0,586153,19380.0,10.0,55244.0,35864.0
